"Mã ảnh","Tên tệp","Thư mục trước","Thư mục sau","Căn cứ xếp","Nội dung nhìn thấy","Đang được dùng","Địa chỉ xem","Dung lượng (byte)"
"0002a93f-93ec-4bb8-81b7-d16b82bbf86f","pasted-image-0-min.png","Chưa phân loại","Sản phẩm / Chưa rõ hãng","Nhìn trực tiếp nội dung ảnh","găng tay bảo hộ màu đen","Có","http://localhost:3000/media/wp-uploads/2021/04/pasted-image-0-min.png","686814"
"000d7c71-02b1-4d89-b033-b52c3e73b3af","img_4551.jpeg","Chưa phân loại","Ảnh minh hoạ","Nhìn trực tiếp nội dung ảnh","người đi mô tô mặc đồ bảo hộ nhìn từ phía sau","Không","http://localhost:3000/media/uploads/52fa5dc0-7970-49af-bd4f-b26f04001731/img_4551.jpeg","831783"
"00130143-96cb-4723-9dd6-f3024354becc","TAICHI-RSC120-01.jpg","Chưa phân loại","Sản phẩm / TAICHI","Nhìn trực tiếp nội dung ảnh","mũ lưỡi trai RS TAICHI","Không","http://localhost:3000/media/wp-uploads/2024/07/TAICHI-RSC120-01.jpg","87125"
"00142920-abf0-4b4b-9947-984865eb92bf","ao-bao-ho-mo-to-adventure-hevik-neptune-hvj409-non-trum-thao-roi.webp","Chưa phân loại","Sản phẩm / Chưa rõ hãng","Nhìn trực tiếp nội dung ảnh","cận cảnh áo khoác bảo hộ và lớp lót tháo rời","Có","http://localhost:3000/media/uploads/0d56210b-1d0b-4792-91ba-b3a5d079cd63/ao-bao-ho-mo-to-adventure-hevik-neptune-hvj409-non-trum-thao-roi.webp","250086"
"0017d6ee-a119-3000-8518-2990b061bf8a","z5064769611586_fe1a6f09d464a99451995c8e2e3976ad.jpg","Chưa phân loại","Sản phẩm / LS2","Nhìn trực tiếp nội dung ảnh","ống bảo hộ chân màu đen có logo LS2","Không","http://localhost:3000/media/migration/wordpress/d4/d48ba175e7fd6228b73496c02d9a08c75441152ebc02fe3f797920ab9ab15760/z5064769611586_fe1a6f09d464a99451995c8e2e3976ad.jpg","142894"
"002c5397-6e49-4b1a-aaf1-a0aa777694ce","san-pham-_16-scaled.jpg","Chưa phân loại","Sản phẩm / SCS","Tra ngược từ nơi dùng trong sản phẩm","","Có","http://localhost:3000/media/wp-uploads/2025/10/san-pham-_16-scaled.jpg","745987"
"003cdfc2-3b06-40d4-a0ba-66b5f7a4f6b3","gang-tay-cut-ngon-bao-ho-moto-xe-may-phuot-chinh-hang-Komine-GK-259-black.jpg","Chưa phân loại","Sản phẩm / KOMINE","Nhìn trực tiếp nội dung ảnh","găng tay bảo hộ KOMINE","Không","http://localhost:3000/media/wp-uploads/2022/03/gang-tay-cut-ngon-bao-ho-moto-xe-may-phuot-chinh-hang-Komine-GK-259-black.jpg","88691"
"004ebdc7-a3fa-32a8-897a-a5ac6148baf6","Fullface-ls2-ff805-carbon-thunder-racing-solid.jpg","Chưa phân loại","Sản phẩm / LS2","Nhìn trực tiếp nội dung ảnh","mũ bảo hiểm fullface carbon LS2","Không","http://localhost:3000/media/migration/wordpress/28/28a2b90eb4104f07dc4f63a77feecf94ff047ec6d02f45ee6568037f2b6fbfb6/Fullface-ls2-ff805-carbon-thunder-racing-solid.jpg","39236"
"006b4076-f6b3-33c2-b65d-c077c15299b2","z7237629198786_064374638389a6bd1a67e5b287079ca4-scaled.jpg","Chưa phân loại","Sản phẩm / LS2","Tra ngược từ nơi dùng trong sản phẩm","","Có","http://localhost:3000/media/migration/wordpress/b5/b503f91b6a7c52d791bab1df85bc93f7df807381da1ebbde822cbfd4f795a1f4/z7237629198786_064374638389a6bd1a67e5b287079ca4-scaled.jpg","545203"
"006c6546-cf78-4772-8cea-a3a5e5f8fd2c","mu-bao-hiem-nao-an-toan-nhat-6.jpg","Chưa phân loại","Bài viết / 2025","Tra ngược từ nơi dùng trong bài viết","","Có","http://localhost:3000/media/wp-uploads/2025/05/mu-bao-hiem-nao-an-toan-nhat-6.jpg","13218"
"0082f3d1-e5e7-3a80-8d8d-d24df6b34b9d","z7233116190523_09568ba7ccc931462e866bb7d566d39d-scaled.jpg","Chưa phân loại","Sản phẩm / LS2","Tra ngược từ nơi dùng trong sản phẩm","","Có","http://localhost:3000/media/migration/wordpress/99/991446529dbd872f3a2dfc181a3d7ef93e699b9624ebedbad3e16c07861ac6b3/z7233116190523_09568ba7ccc931462e866bb7d566d39d-scaled.jpg","227308"
"0097d41a-c108-44a1-be2c-11e9b31e5c08","tai_nghe_bluetooth_m__b_o_hi_m.png","Chưa phân loại","Ảnh minh hoạ","Nhìn trực tiếp nội dung ảnh","biểu tượng nét thiết bị liên lạc gắn mũ bảo hiểm","Không","http://localhost:3000/media/uploads/143a8aa5-0d1e-405d-a781-adaabc744674/tai_nghe_bluetooth_m__b_o_hi_m.png","43759"
"00a2b497-e442-4da2-abe7-41231a8462fb","Union-3.png","Chưa phân loại","Ảnh minh hoạ","Nhìn trực tiếp nội dung ảnh","biểu tượng nét áo giáp bảo hộ","Không","http://localhost:3000/media/wp-uploads/2020/07/Union-3.png","1399"
"00ac7aee-ae3f-34fc-9bdc-04a23d5f01f4","Quan-giap-moto-nu-scoyco-P122w-02-1.jpg","Chưa phân loại","Sản phẩm / Chưa rõ hãng","Nhìn trực tiếp nội dung ảnh","quần giáp mô tô nữ màu sáng","Không","http://localhost:3000/media/migration/wordpress/48/48132280f82629a43f909448bf5b967a20ec5192a4fb2fa8b66829332fbab7ed/Quan-giap-moto-nu-scoyco-P122w-02-1.jpg","30065"
"00b1b3e4-f6f6-3b8e-b8d1-cc3c2cd769d1","36.webp","Chưa phân loại","Sản phẩm / SPIRIT MOTO","Tra ngược từ nơi dùng trong sản phẩm","","Có","http://localhost:3000/media/migration/wordpress/96/968ac221d81897accb9de1ea96a4e9692b0136a322aa9ca09a92ef5176028a3b/36.webp","80436"
"00b60be7-6d8a-4dc7-9597-1556fa7183d5","SET-AO-QUAN-BAO-HO-ADV-SPYKE-COMPASS-DRY-TECNO-MAN-02.jpg","Chưa phân loại","Sản phẩm / SPYKE","Nhìn trực tiếp nội dung ảnh","quần bảo hộ mô tô SPYKE màu đen trắng đỏ","Không","http://localhost:3000/media/wp-uploads/2024/03/SET-AO-QUAN-BAO-HO-ADV-SPYKE-COMPASS-DRY-TECNO-MAN-02.jpg","46503"
"00c59c25-4acd-4699-9249-187ae090c3cd","Set-ao-quan-ao-bao-ho.jpg","Chưa phân loại","Bài viết / 2026","Tra ngược từ nơi dùng trong bài viết","","Có","http://localhost:3000/media/wp-uploads/2026/03/Set-ao-quan-ao-bao-ho.jpg","22065"
"0101bc82-bc7d-42a8-aa1f-4e563eec13d7","giay-moto-phuot-ilm-1005-mau-den-da-lon-mat-de-giay-chup-tai-shop-bigbike.webp","Chưa phân loại","Sản phẩm / ILM","Tra ngược từ nơi dùng trong sản phẩm","","Có","http://localhost:3000/media/uploads/82cbba8c-39d6-445c-8642-cc5a51ad7157/giay-moto-phuot-ilm-1005-mau-den-da-lon-mat-de-giay-chup-tai-shop-bigbike.webp","236734"
"01149351-6c33-4847-9eca-be3ca3a894ff","4-kieu-dang-day-thoi-trang-phong-cach-voi-mau-giay-phuot-forma-legacy.jpg","Chưa phân loại","Bài viết / 2024","Tra ngược từ nơi dùng trong bài viết","","Có","http://localhost:3000/media/wp-uploads/2024/05/4-kieu-dang-day-thoi-trang-phong-cach-voi-mau-giay-phuot-forma-legacy.jpg","39586"
"011b0d93-967f-4238-bfbc-a35c5a27d74a","phuot-ha-giang-15.jpg","Chưa phân loại","Bài viết / 2023","Tra ngược từ nơi dùng trong bài viết","","Có","http://localhost:3000/media/wp-uploads/2023/04/phuot-ha-giang-15.jpg","69181"
"0122cc8d-f4d4-4a65-bacd-69be9aa78649","ch_y_tour__ch_y_off-road_m__mu_n_1_c_i_n_n_c_n_h_t_m_i___a_h_nhth__tanami_carbon_c_a_caberg___ng_ki_u_sinh_ra_____i._v__carbon_nh_____i_l_u_kh_ng_m_i_c__vent_th_o_nam_ch_m_m__c_i_l__m_t_li_n_g_n_peak_","Chưa phân loại","Video gốc","Video không được tham chiếu","","Không","http://localhost:3000/media/uploads/e0bd13de-0798-4500-99f7-e14814d6d68f/ch_y_tour__ch_y_off-road_m__mu_n_1_c_i_n_n_c_n_h_t_m_i___a_h_nhth__tanami_carbon_c_a_caberg___ng_ki_u_sinh_ra_____i._v__carbon_nh_____i_l_u_kh_ng_m_i_c__vent_th_o_nam_ch_m_m__c_i_l__m_t_li_n_g_n_peak_","23770671"
"013720ea-68b7-4a98-9661-e8542d113aa7","6-deo-bao-loc-voi-cung-duong-day-thach-thuc-cac-phuot-thu-can-can-trong.jpg","Chưa phân loại","Bài viết / 2023","Tra ngược từ nơi dùng trong bài viết","","Có","http://localhost:3000/media/wp-uploads/2023/06/6-deo-bao-loc-voi-cung-duong-day-thach-thuc-cac-phuot-thu-can-can-trong.jpg","68654"
"014e62b6-bb09-44ed-81b6-6380543c8511","s10x-___n_gi_n_l__nghe_l__hi_u..mp4","Sản phẩm / SCS","Video gốc","Video không được tham chiếu","","Không","http://localhost:3000/media/uploads/55708f36-60b6-4714-8ceb-3cc0f6563d26/s10x-___n_gi_n_l__nghe_l__hi_u..mp4","23709854"
"014e7a80-2a5e-4eee-b9cb-b811d99c05a8","mu-bao-hiem-dat-chuan-7.jpg","Chưa phân loại","Bài viết / 2023","Tra ngược từ nơi dùng trong bài viết","","Có","http://localhost:3000/media/wp-uploads/2023/02/mu-bao-hiem-dat-chuan-7.jpg","35340"
"0168d82c-7530-3be2-906b-d9000f9c9a68","Fullface-ls2-ff805-carbon-thunder-racing-solid-01.jpg","Chưa phân loại","Sản phẩm / LS2","Nhìn trực tiếp nội dung ảnh","mũ bảo hiểm fullface carbon LS2 nhìn phía sau","Không","http://localhost:3000/media/migration/wordpress/d8/d8119b89d425af49e547d99324570b5785e8fb98261298982d9191c900a1b8b0/Fullface-ls2-ff805-carbon-thunder-racing-solid-01.jpg","69371"
"01767fce-ba66-472b-8140-918253e9bedc","c_ng_l__tai_nghe_nh_ng_thi_t_k_____kh_c__c_ng_n_ng_c_n_kh_c_xa_h_n._m_t_chi_c_t_i__u_cho__i_ph_._m_t_chi_c_sinh_ra_____i_tour_d_i__pin_tr_u_v__t_tr_i.__xem_clip____bi_t___u_l__l_a_ch_n_ph__h_p_nh_t_ch","Chưa phân loại","Video gốc","Video không được tham chiếu","","Không","http://localhost:3000/media/uploads/ee04806c-84c0-42cf-90a2-ddcfc62309d8/c_ng_l__tai_nghe_nh_ng_thi_t_k_____kh_c__c_ng_n_ng_c_n_kh_c_xa_h_n._m_t_chi_c_t_i__u_cho__i_ph_._m_t_chi_c_sinh_ra_____i_tour_d_i__pin_tr_u_v__t_tr_i.__xem_clip____bi_t___u_l__l_a_ch_n_ph__h_p_nh_t_ch","3898102"
"01c071a0-a63c-4dce-bd4f-df7127834b5a","Tui-deo-hong-deo-bao-tu-chong-nuoc-Givi-EA125-water-resistant-adjustable-waist-bag-03-1.jpg","Chưa phân loại","Sản phẩm / GIVI","Tra ngược từ nơi dùng trong sản phẩm","","Có","http://localhost:3000/media/wp-uploads/2022/09/Tui-deo-hong-deo-bao-tu-chong-nuoc-Givi-EA125-water-resistant-adjustable-waist-bag-03-1.jpg","52250"
"01cee8a4-72c0-4111-a36b-dcac898a32eb","z7283772551919_18b691e50a2926049cdad7985ab68ee9.jpg","Chưa phân loại","Sản phẩm / GIVI","Tra ngược từ nơi dùng trong sản phẩm","","Có","http://localhost:3000/media/wp-uploads/2025/12/z7283772551919_18b691e50a2926049cdad7985ab68ee9.jpg","133804"
"01db1043-fa1b-497c-b309-626aa5ec89a5","_o_1734__2_.jpg","Chưa phân loại","Sản phẩm / Chưa rõ hãng","Nhìn trực tiếp nội dung ảnh","người mẫu mặc áo khoác bảo hộ lưới màu đen","Không","http://localhost:3000/media/uploads/ecbe6b15-e21a-40f8-9ef6-73f71f06a7bb/_o_1734__2_.jpg","1252209"
"01dcca1e-2f6b-45e4-a733-e64298846219","z7639731502251_25753ab84bf2b779e453bfc531af8ec3-rotated.jpg","Chưa phân loại","Sản phẩm / LS2","Nhìn trực tiếp nội dung ảnh","người mẫu mặc áo khoác bảo hộ LS2 màu trắng đen","Không","http://localhost:3000/media/wp-uploads/2026/06/z7639731502251_25753ab84bf2b779e453bfc531af8ec3-rotated.jpg","297412"
