id,name,slug,sku,category,brand,publish_status,retail_price,legacy_id
wp-prod-4030,BALO ALPINESTARS CITY HUNTER BACK PACK,balo-alpinestars-city-hunter-back-pack,CITYHUNTERBACKPACK,BALÔ ĐEO LƯNG - TÚI ĐEO - TÚI TREO XE,,DRAFT,2760000.00,4030
wp-prod-133,BALO ĐEO LƯNGTAICHI RSB 272 BLACK CHỐNG NƯỚC ĐÈN LED,balo-deo-lung-chong-nuoc-di-mo-to-balo-deo-lung-chong-nuoc-den-led-taichi-rsb-272-black,RSB272-3,BALÔ ĐEO LƯNG - TÚI ĐEO - TÚI TREO XE,,DRAFT,790000.00,133
wp-prod-880,TÚI HÍT BÌNH XĂNG SCOYCO 2 IN 1 MB09B,balo-hit-binh-xang-tui-hit-binh-xang-scoyco-mb09b,MB09B,BALÔ ĐEO LƯNG - TÚI ĐEO - TÚI TREO XE,SCOYCO,DRAFT,1220000.00,880
wp-prod-1076,TÚI ĐEO ĐÙI SCOYCO MB14,tui-deo-dui-deo-hong-di-mo-to-xe-may-phuot-tui-deo-dui-deo-hong-chinh-hang-scoyco-mb14,MB14,BALÔ ĐEO LƯNG - TÚI ĐEO - TÚI TREO XE,SCOYCO,DRAFT,770000.00,1076
wp-prod-220,Túi treo 2 bên xe Tanked Racing đa năng,tui-treo-2-ben-xe-tanked-racing-da-nang,BTA01,BALÔ ĐEO LƯNG - TÚI ĐEO - TÚI TREO XE,,DRAFT,1190000.00,220
wp-prod-272,Túi đeo đùi Alpinestars Camo,tu-i-deo-du-i-alpinestars-camo,B033,BALÔ ĐEO LƯNG - TÚI ĐEO - TÚI TREO XE,,DRAFT,200000.00,272
wp-prod-3685,TÚI HÍT BÌNH XĂNG GIVI RTB01,tui-hit-binh-xang-givi-rtb01,GIVIRB01,BALÔ ĐEO LƯNG - TÚI ĐEO - TÚI TREO XE,GIVI,DRAFT,1470000.00,3685
wp-prod-4164,TÚI HÍT BÌNH XĂNG GIVI XS312,tui-hit-binh-xang-givi-xs312,XS312,BALÔ ĐEO LƯNG - TÚI ĐEO - TÚI TREO XE,,DRAFT,2090000.00,4164
wp-prod-3989,TÚI HÍT BÌNH XĂNG SW-MOTECH QUICK-LOCK EVO MICRO 1680 2.5L,tui-hit-binh-xang-sw-motech-quick-lock-evo-micro-1680-2-5l,QUICK-LOCK EVO ,BALÔ ĐEO LƯNG - TÚI ĐEO - TÚI TREO XE,,DRAFT,1820000.00,3989
wp-prod-1077,TÚI ĐEO HÔNG - BAO TỬ SCOYCO MB11-2,tui-deo-hong-tui-bao-tu-di-mo-to-xe-may-phuot-tui-deo-hong-tui-bao-tu-chinh-hang-scoyco-mb11-2,MB11-2,BALÔ ĐEO LƯNG - TÚI ĐEO - TÚI TREO XE,SCOYCO,DRAFT,810000.00,1077
wp-prod-3879,TÚI ĐEO ĐÙI ALPINESTARS STREAM BALCK/WHITE/RED,tui-deo-dui-alpinestars-stream-balck-white-red,STREAM 1,BALÔ ĐEO LƯNG - TÚI ĐEO - TÚI TREO XE,,DRAFT,800000.00,3879
wp-prod-3878,TÚI ĐEO ĐÙI ALPINESTARS STREAM BLACK/YELLOW,tui-deo-dui-alpinestars-stream-black-yellow,STREAM,BALÔ ĐEO LƯNG - TÚI ĐEO - TÚI TREO XE,,DRAFT,800000.00,3878
wp-prod-274,"Túi đeo hông, túi bao tử Alpinestars Black",tui-deo-hong-tu-i-bao-t-di-mo-to-xe-ma-y-phuo-t-tui-deo-hong-tu-i-bao-tu-alpinestars-black,BA024B,BALÔ ĐEO LƯNG - TÚI ĐEO - TÚI TREO XE,,DRAFT,350000.00,274
wp-prod-273,"Túi đeo hông, túi bao tử Alpinestars Red",tui-deo-hong-tui-bao-tu-di-mo-to-xe-may-phuot-tui-deo-hong-tui-bao-tu-alpinestars-red,BA024R,BALÔ ĐEO LƯNG - TÚI ĐEO - TÚI TREO XE,,DRAFT,350000.00,273
wp-prod-35864,,hang-oder,BB-CHUAP-035864,Chưa phân loại,,DRAFT,0.00,35864
wp-prod-41176,Dual Sport WS-902 Helmet: Dual Visor | Rally & Off-road Specialist,dual-sport-ws-902-helmet-dual-visor-rally-off-road-specialist,BB-CHUAP-041176,Chưa phân loại,,DRAFT,0.00,41176
wp-prod-34824,GIÀY BẢO HỘ ORIGINAL SWAT CLASSIC 9 CHO NỮ,giay-bao-ho-original-swat-classic-9-cho-nu,BB-CHUAP-034824,Chưa phân loại,,DRAFT,0.00,34824
wp-prod-26868,GIÀY RACING GAERNE GP1 EVO,giay-racing-gaerne-gp1-evo,BB-CHUAP-026868,Chưa phân loại,,DRAFT,0.00,26868
wp-prod-29785,Giày Forma Elite Dry,giay-forma-elite-dry-29785,BB-CHUAP-029785,Chưa phân loại,,DRAFT,0.00,29785
wp-prod-41214,GĂNG TAY MÔ TÔ ILM THOÁNG KHÍ CHO NAM VÀ NỮ JC44,gang-tay-mo-to-ilm-thoang-khi-cho-nam-va-nu-jc44,BB-CHUAP-041214,Chưa phân loại,,DRAFT,0.00,41214
wp-prod-321,Găng tay Fox Racing Flexair Race MX,gang-tay-bao-ho-mo-to-xe-may-phuot-gang-tay-fox-racing-flexair-race-mx,F020,Chưa phân loại,,DRAFT,250000.00,321
wp-prod-36291,MŨ BẢO HIỂM ADVENTURE NEXX X.WED3 - KEYO,mu-bao-hiem-adventure-nexx-x-wed3-keyo,BB-CHUAP-036291,Chưa phân loại,,DRAFT,0.00,36291
wp-prod-30499,NÓN NEXX SX.100 SKYWAY,non-nexx-sx-100-skyway,BB-CHUAP-030499,Chưa phân loại,,DRAFT,0.00,30499
wp-prod-34298,QUẦN BẢO HỘ BULLFIGHTER VULCAN MALE BUKSE REGULAR,quan-bao-ho-bullfighter-vulcan-male-bukse-regular,BB-CHUAP-034298,Chưa phân loại,,DRAFT,0.00,34298
wp-prod-39542,QUẦN BẢO HỘ ILM BJN01,quan-bao-ho-ilm-bjn01,BB-CHUAP-039542,Chưa phân loại,,DRAFT,0.00,39542
wp-prod-34870,QUẦN GIÁP BẢO HỘ CHO NỮ REVIT AIRWAY 2,quan-giap-bao-ho-cho-nu-revit-airway-2,BB-CHUAP-034870,Chưa phân loại,,DRAFT,0.00,34870
wp-prod-32580,QUẦN GIÁP BẢO HỘ FURYGAN VULCAN MALE BUKSER REGULAR,quan-giap-bao-ho-furygan-vulcan-male-bukser-regular,BB-CHUAP-032580,Chưa phân loại,,DRAFT,0.00,32580
wp-prod-29126,RACEDAY LIGHT PARKA,raceday-light-parka,BB-CHUAP-029126,Chưa phân loại,,DRAFT,5800000.00,29126
wp-prod-3366,GIÀY CHỐNG NƯỚC TCX RUSH WP GREEN,giay-bao-ho-mo-to-chong-nuoc-chinh-hang-tcx-rush-wp-green,TCXRUSHGREEN,GIÀY BẢO HỘ,,DRAFT,2750000.00,3366
wp-prod-4001,GIÀY ALPINESTARS SUPERTECH R LORENZO,giay-bao-ho-alpinestars-supertech-r-lorenzo,2220015-3091,GIÀY BẢO HỘ,,DRAFT,12000000.00,4001
wp-prod-3430,GIÀY SIDI VORTICE AIR,giay-bao-ho-sidi-vortice-air,SIDIVORTICE,GIÀY BẢO HỘ,,DRAFT,11350000.00,3430
wp-prod-111,Bộ phụ kiện giáp bảo hộ cho áo,bo-phu-kien-giap-cho-ao-bao-ho,AM01,GIÁP BẢO HỘ TAY CHÂN - ĐAI LƯNG - PHỤ KIỆN GIÁP,,DRAFT,175000.00,111
wp-prod-4040,GIÁP CHÂN SCOYCO K12 BLUE,giap-bao-ho-chan-scoyco-k12-blue,K12BL,GIÁP BẢO HỘ TAY CHÂN - ĐAI LƯNG - PHỤ KIỆN GIÁP,SCOYCO,DRAFT,800000.00,4040
wp-prod-4039,GIÁP CHÂN SCOYCO K12 PINK,giap-bao-ho-chan-scoyco-k12-pink,K12P,GIÁP BẢO HỘ TAY CHÂN - ĐAI LƯNG - PHỤ KIỆN GIÁP,SCOYCO,DRAFT,800000.00,4039
wp-prod-434,GIÁP CHÂN SCOYCO K12 WHITE,giap-bao-ho-tay-va-chan-scoyco-k12-white,K12W,GIÁP BẢO HỘ TAY CHÂN - ĐAI LƯNG - PHỤ KIỆN GIÁP,SCOYCO,DRAFT,800000.00,434
wp-prod-3988,GIÁP CHÂN SCOYCO K17H17,giap-bao-ho-chan-scoyco-k17h17,K17H17,GIÁP BẢO HỘ TAY CHÂN - ĐAI LƯNG - PHỤ KIỆN GIÁP,SCOYCO,DRAFT,1850000.00,3988
wp-prod-139,Giáp bảo hộ tay và chân GXT,giap-bao-ho-tay-va-chan-di-mo-to-xe-may-phuot-giap-bao-ho-tay-va-chan-gxt,GXT08,GIÁP BẢO HỘ TAY CHÂN - ĐAI LƯNG - PHỤ KIỆN GIÁP,,DRAFT,290000.00,139
wp-prod-118,Giáp bảo hộ tay và chân Mad Bike inox,bao-ho-tay-va-chan-di-mo-to-xe-may-phuot-giap-bao-ho-tay-va-chan-mad-bike-inox,MAD01,GIÁP BẢO HỘ TAY CHÂN - ĐAI LƯNG - PHỤ KIỆN GIÁP,,DRAFT,430000.00,118
wp-prod-119,Giáp bảo hộ tay và chân Mad Bike inox mini,giap-bao-ho-tay-va-chan-di-mo-to-xe-may-phuot-giap-bao-ho-tay-va-chan-mad-bike-inox-mini,MAD02,GIÁP BẢO HỘ TAY CHÂN - ĐAI LƯNG - PHỤ KIỆN GIÁP,,DRAFT,250000.00,119
wp-prod-101,Giáp gối và tay Pro-Biker,bao-ho-tay-va-chan-di-mo-to-xe-may-phuot-bao-ho-probiker-giap-goi-va-tay-probiker,AP011,GIÁP BẢO HỘ TAY CHÂN - ĐAI LƯNG - PHỤ KIỆN GIÁP,,DRAFT,160000.00,101
wp-prod-2691,ĐAI LƯNG SCOYCO U11 BLUE CHỐNG MỎI,dai-lung-chong-moi-di-mo-to-xe-may-phuot-dai-lung-chong-moi-chinh-hang-scoyco-u11-xanh-duong,U11B,GIÁP BẢO HỘ TAY CHÂN - ĐAI LƯNG - PHỤ KIỆN GIÁP,SCOYCO,DRAFT,790000.00,2691
wp-prod-3940,ĐỒ BẢO VỆ CỔ SCOYCO N03,do-bao-ve-co-scoyco-n03,N03,GIÁP BẢO HỘ TAY CHÂN - ĐAI LƯNG - PHỤ KIỆN GIÁP,,DRAFT,820000.00,3940
wp-prod-5261,GĂNG TAY ALPINESTARS CELER V2 BLACK/WHITE,gang-tay-alpinestars-celer-v2-black-white,ALCV2BW,GĂNG TAY,ALPINESTARS,DRAFT,2300000.00,5261
wp-prod-4730,GĂNG TAY ALPINESTARS MASAI BLACK/RED/YELLOW/GREEN,gang-tay-alpinestars-masai-black-white-green,MASAI BWG,GĂNG TAY,,DRAFT,1380000.00,4730
wp-prod-5572,GĂNG TAY ALPINESTARS SHORE BLACK YELLOW,gang-tay-alpinestars-shore-balck-yellow,ALSHOREBY,GĂNG TAY,ALPINESTARS,DRAFT,960000.00,5572
wp-prod-4792,GĂNG TAY ALPINESTARS SMX-2 AC BLACK/WHITE,gang-tay-alpinestars-smx-2-ac-black-white,SMX-2 AC BW,GĂNG TAY,ALPINESTARS,DRAFT,1850000.00,4792
wp-prod-3068,GĂNG TAY ALPINESTARS SP AIR BLACK/WHITE,gang-tay-bao-ho-chinh-hang-alpinestars-sp-air-black-white,ALSPABW,GĂNG TAY,,DRAFT,2990000.00,3068
wp-prod-2154,GĂNG TAY ALPINESTARS SPARTAN BLACK,gang-tay-bao-ho-mo-to-xe-may-phuot-gang-tay-alpinestars-spartan-black,ASB,GĂNG TAY,,DRAFT,920000.00,2154
wp-prod-2160,GĂNG TAY ALPINESTARS SPARTAN BLACK/ GREEN,gang-tay-bao-ho-mo-to-xe-may-phuot-gang-tay-alpinestars-spartan-black-green,ASBG,GĂNG TAY,ALPINESTARS,DRAFT,920000.00,2160
wp-prod-2156,GĂNG TAY ALPINESTARS SPARTAN BLACK/ RED/ WHITE,gang-tay-bao-ho-mo-to-xe-may-phuot-gang-tay-alpinestars-spartan-black-red-white,ASBRW,GĂNG TAY,ALPINESTARS,DRAFT,920000.00,2156
wp-prod-4738,GĂNG TAY ALPINESTARS WARDEN,gang-tay-alpinestars-warden,WARDEN,GĂNG TAY,ALPINESTARS,DRAFT,1280000.00,4738
wp-prod-3949,GĂNG TAY DAINESE AIR HERO VR46,gang-tay-bao-ho-dainese-air-hero-vr46,AIR HERO VR46,GĂNG TAY,,DRAFT,1694000.00,3949
wp-prod-4931,GĂNG TAY FURYGAN AFS 6 BLACK,gang-tay-furygan-afs-6-black,FUAFS6,GĂNG TAY,,DRAFT,750000.00,4931
wp-prod-5030,GĂNG TAY GIRO BRAVO GEL RED,gang-tay-giro-bravo-gel-red,GIBRAGELR,GĂNG TAY,,DRAFT,200000.00,5030
wp-prod-5032,GĂNG TAY GIRO DND™ BLACK,gang-tay-giro-dndtm-black,GIDNDB,GĂNG TAY,,DRAFT,200000.00,5032
wp-prod-5033,GĂNG TAY GIRO DND™ BLACK/RED,gang-tay-giro-dndtm-black-red,GIDNDBR,GĂNG TAY,ALPINESTARS,DRAFT,200000.00,5033
wp-prod-3587,GĂNG TAY ICON TWENTY - NINER,gang-tay-bao-ho-icon-twenty-niner-chinh-hang,ICONTN,GĂNG TAY,,DRAFT,800000.00,3587
wp-prod-336,GĂNG TAY SCOYCO MC10 BLACK/GRAY,gang-tay-bao-ho-scoyco-mc10-xam,MC10W,GĂNG TAY,SCOYCO,DRAFT,245000.00,336
wp-prod-5277,GĂNG TAY SCOYCO MC50,gang-tay-scoyco-mc50-black,SCOYMC50B,GĂNG TAY,SCOYCO,DRAFT,750000.00,5277
wp-prod-2782,GĂNG TAY STARFIELD KNIGHT SKG 521 BLACK,gang-tay-bao-ho-chinh-hang-starfield-knight-skg-521-den,SKG521B,GĂNG TAY,,DRAFT,620000.00,2782
wp-prod-2786,GĂNG TAY STARFIELD KNIGHT SKG 521 BLACK/RED,gang-tay-bao-ho-chinh-hang-starfield-knight-skg-521-den-do,SKG521BR,GĂNG TAY,,DRAFT,620000.00,2786
wp-prod-2790,GĂNG TAY STARFIELD KNIGHT SKG 521 BLACK/WHITE,gang-tay-bao-ho-chinh-hang-starfield-knight-skg-521-den-trang,SKG521BW,GĂNG TAY,,DRAFT,620000.00,2790
wp-prod-2801,GĂNG TAY STARFIELD KNIGHT SKG 523 BLACK,gang-tay-bao-ho-chinh-hang-starfield-knight-skg-523-den,SKG523B,GĂNG TAY,,DRAFT,690000.00,2801
wp-prod-2809,GĂNG TAY STARFIELD KNIGHT SKG 523 BLACK/GREEN,gang-tay-chinh-hang-starfield-knight-skg-523-den-xanh-la,SKG523BG,GĂNG TAY,,DRAFT,690000.00,2809
wp-prod-2805,GĂNG TAY STARFIELD KNIGHT SKG 523 BLACK/RED,gang-tay-bao-ho-chinh-hang-starfield-knight-skg-523-den-wp-2805,SKG523BR,GĂNG TAY,,DRAFT,690000.00,2805
wp-prod-2819,GĂNG TAY STARFIELD KNIGHT SKG 525 BOA BLACK,gang-tay-bao-ho-chinh-hang-starfield-knight-skg-525-boa-den,SGK525,GĂNG TAY,,DRAFT,790000.00,2819
wp-prod-2823,GĂNG TAY STARFIELD KNIGHT SKG 525 BOA BLACK/RED,gang-tay-chinh-hang-starfield-knight-skg-525-boa-den-do,SKG525BR,GĂNG TAY,,DRAFT,790000.00,2823
wp-prod-3561,GĂNG TAY TAICHI RST429 BLACK,gang-tay-bao-ho-chinh-hang-taichi-rst429-black,RST429,GĂNG TAY,,DRAFT,1200000.00,3561
wp-prod-3564,GĂNG TAY TAICHI RST429 BLACK/RED,gang-tay-chinh-hang-taichi-rst429-black-red,RST429BR,GĂNG TAY,,DRAFT,1200000.00,3564
wp-prod-305,Găng Tay Bảo Hộ Madbike Gù Inox 2015 Đỏ,gang-tay-madbike-gu-inox-2015,MAD05R,GĂNG TAY,,DRAFT,210000.00,305
wp-prod-209,Găng tay PROBIKER Monster full ngón đen,gang-tay-bao-ho-di-mo-to-xe-may-phuot-gang-tay-probiker-monster-full-ngon-den,P008,GĂNG TAY,,DRAFT,110000.00,209
