id,name,sku,category,brand,retail_price,compare_at_price,sale_price,wp_stock_qty,publish_status,has_image,legacy_id,suggested_price,suggestion_reason
wp-prod-26796,OS18,BB-BALOD-026796,BALÔ ĐEO LƯNG - TÚI ĐEO - TÚI TREO XE,KRIEGA,0.00,,,,DRAFT,true,26796,,no_source_manual_input_required
wp-prod-7215,TÚI CHỐNG NƯỚC KRIEGA US-20 DRYPACK,KUS20,BALÔ ĐEO LƯNG - TÚI ĐEO - TÚI TREO XE,KRIEGA,0.00,5400000.00,,,DRAFT,true,7215,5400000.00,from compare_at_price
wp-prod-7222,TÚI CHỐNG NƯỚC KRIEGA US-30 DRYPACK,KUS30,BALÔ ĐEO LƯNG - TÚI ĐEO - TÚI TREO XE,KRIEGA,0.00,5950000.00,,,DRAFT,true,7222,5950000.00,from compare_at_price
wp-prod-35864,,BB-CHUAP-035864,Chưa phân loại,,0.00,,,,DRAFT,false,35864,,no_source_manual_input_required
wp-prod-41176,Dual Sport WS-902 Helmet: Dual Visor | Rally & Off-road Specialist,BB-CHUAP-041176,Chưa phân loại,,0.00,,,,DRAFT,false,41176,,no_source_manual_input_required
wp-prod-36571,GIÀY BẢO HỘ CHỐNG NƯỚC SIDI SDS DENVER WATERPROOF,BB-CHUAP-036571,Chưa phân loại,,0.00,,,,DRAFT,true,36571,,no_source_manual_input_required
wp-prod-36565,GIÀY BẢO HỘ MOTOCROSS SIDI CROSSFIRE 3,BB-CHUAP-036565,Chưa phân loại,,0.00,,,,DRAFT,true,36565,,no_source_manual_input_required
wp-prod-36567,GIÀY BẢO HỘ MOTOCROSS SIDI CROSSFIRE 3 SRS,BB-CHUAP-036567,Chưa phân loại,,0.00,,,,DRAFT,true,36567,,no_source_manual_input_required
wp-prod-36569,GIÀY BẢO HỘ MOTOCROSS SIDI XPOWER SC,BB-CHUAP-036569,Chưa phân loại,,0.00,,,,DRAFT,true,36569,,no_source_manual_input_required
wp-prod-34824,GIÀY BẢO HỘ ORIGINAL SWAT CLASSIC 9 CHO NỮ,BB-CHUAP-034824,Chưa phân loại,,0.00,,,,DRAFT,false,34824,,no_source_manual_input_required
wp-prod-36573,GIÀY BẢO HỘ SIDI ADVENTURE 2 GORE-TEX,BB-CHUAP-036573,Chưa phân loại,,0.00,,,,DRAFT,true,36573,,no_source_manual_input_required
wp-prod-36581,GIÀY BẢO HỘ SIDI ADVVENTURE 2 GORETEX,BB-CHUAP-036581,Chưa phân loại,,0.00,,,,DRAFT,true,36581,,no_source_manual_input_required
wp-prod-36587,GIÀY BẢO HỘ SIDI ARIA GORETEX,BB-CHUAP-036587,Chưa phân loại,,0.00,,,,DRAFT,true,36587,,no_source_manual_input_required
wp-prod-36575,GIÀY BẢO HỘ SIDI CANYON 2 GORETEX,BB-CHUAP-036575,Chưa phân loại,,0.00,,,,DRAFT,true,36575,,no_source_manual_input_required
wp-prod-36583,GIÀY BẢO HỘ SIDI GAVIA GORETEX ADVENTURE,BB-CHUAP-036583,Chưa phân loại,,0.00,,,,DRAFT,true,36583,,no_source_manual_input_required
wp-prod-36585,GIÀY BẢO HỘ SIDI MID ADVENTURE 2 GORETEX,BB-CHUAP-036585,Chưa phân loại,,0.00,,,,DRAFT,true,36585,,no_source_manual_input_required
wp-prod-36577,GIÀY BẢO HỘ SPORT SIDI MID PERFORMER,BB-CHUAP-036577,Chưa phân loại,,0.00,,,,DRAFT,true,36577,,no_source_manual_input_required
wp-prod-36579,GIÀY BẢO HỘ SPORT SIDI REX,BB-CHUAP-036579,Chưa phân loại,,0.00,,,,DRAFT,true,36579,,no_source_manual_input_required
wp-prod-26868,GIÀY RACING GAERNE GP1 EVO,BB-CHUAP-026868,Chưa phân loại,,0.00,,,,DRAFT,false,26868,,no_source_manual_input_required
wp-prod-29785,Giày Forma Elite Dry,BB-CHUAP-029785,Chưa phân loại,,0.00,,,,DRAFT,false,29785,,no_source_manual_input_required
wp-prod-39831,GĂNG TAY BẢO HỘ TAICHI RST468,BB-CHUAP-039831,Chưa phân loại,,0.00,,,,DRAFT,true,39831,,no_source_manual_input_required
wp-prod-37123,GĂNG TAY MOTO O'NEAL BUTCH CARBON GLOVE BLACK,BB-CHUAP-037123,Chưa phân loại,,0.00,,,,DRAFT,true,37123,,no_source_manual_input_required
wp-prod-41214,GĂNG TAY MÔ TÔ ILM THOÁNG KHÍ CHO NAM VÀ NỮ JC44,BB-CHUAP-041214,Chưa phân loại,,0.00,,,,DRAFT,false,41214,,no_source_manual_input_required
wp-prod-37108,KHĂN TRÙM ĐẦU EGO BALACLAVA,BB-CHUAP-037108,Chưa phân loại,,0.00,,,,DRAFT,true,37108,,no_source_manual_input_required
